,compound,neg,neu,pos,published
296,0.0,0.0,0.0,0.0,2018-06-03T04:51:00.000+03:00
297,0.0,0.0,0.0,0.0,2018-06-03T04:51:00.000+03:00
298,0.9934,0.079,0.834,0.087,2018-06-03T04:43:00.000+03:00
299,0.0,0.0,1.0,0.0,2018-06-03T04:39:00.000+03:00
300,-0.8669,0.288,0.566,0.147,2018-05-19T12:35:00.000+03:00
301,-0.043,0.03,0.932,0.038,2018-05-19T12:35:00.000+03:00
302,0.9459,0.087,0.616,0.296,2018-05-19T12:34:00.000+03:00
303,0.4404,0.0,0.903,0.097,2018-05-19T12:34:00.000+03:00
304,0.2003,0.091,0.809,0.1,2018-05-19T12:33:00.000+03:00
305,0.2444,0.057,0.849,0.094,2018-05-19T12:30:00.000+03:00
306,0.4404,0.0,0.903,0.097,2018-05-19T12:28:00.000+03:00
307,0.4404,0.0,0.903,0.097,2018-05-19T12:28:00.000+03:00
308,0.4404,0.0,0.903,0.097,2018-05-19T12:28:00.000+03:00
309,0.5859,0.0,0.652,0.348,2018-05-19T12:28:00.000+03:00
310,0.4404,0.0,0.903,0.097,2018-05-19T12:27:00.000+03:00
311,0.4404,0.0,0.903,0.097,2018-05-19T12:26:00.000+03:00
312,0.7003,0.0,0.903,0.097,2018-05-19T12:26:00.000+03:00
313,0.9989,0.033,0.815,0.152,2018-05-19T12:26:00.000+03:00
314,0.4404,0.0,0.903,0.097,2018-05-19T12:25:00.000+03:00
315,0.4404,0.0,0.903,0.097,2018-05-19T12:24:00.000+03:00
316,0.9933,0.014,0.742,0.245,2018-05-19T12:24:00.000+03:00
317,0.4404,0.0,0.903,0.097,2018-05-19T12:23:00.000+03:00
318,0.4404,0.0,0.903,0.097,2018-05-19T12:21:00.000+03:00
319,0.4404,0.0,0.903,0.097,2018-05-19T12:20:00.000+03:00
320,0.4404,0.0,0.903,0.097,2018-05-19T12:19:00.000+03:00
321,0.4404,0.0,0.903,0.097,2018-05-19T12:19:00.000+03:00
322,0.5984,0.0,0.94,0.06,2018-05-19T12:19:00.000+03:00
323,0.4404,0.0,0.903,0.097,2018-05-19T12:18:00.000+03:00
